imagen,porcentaje_nubosidad,octa,clasificacion
2025-09010832.jpg,24.62,2,claro
2025-09010842.jpg,26.13,3,claro
2025-09010852.jpg,15.41,2,claro
2025-09010902.jpg,9.6,1,claro
2025-09010912.jpg,5.73,1,claro
2025-09010922.jpg,3.21,1,claro
2025-09010932.jpg,1.36,1,claro
2025-09010942.jpg,0.65,1,claro
2025-09010952.jpg,0.41,1,claro
2025-09011002.jpg,0.31,1,claro
2025-09011012.jpg,0.24,1,claro
2025-09011022.jpg,0.21,1,claro
2025-09011032.jpg,0.13,1,claro
2025-09011042.jpg,0.11,1,claro
2025-09011052.jpg,0.12,1,claro
2025-09011102.jpg,0.12,1,claro
2025-09011112.jpg,1.84,1,claro
2025-09011122.jpg,0.07,1,claro
2025-09011132.jpg,0.08,1,claro
2025-09011142.jpg,0.07,1,claro
2025-09011152.jpg,8.45,1,claro
2025-09011202.jpg,9.24,1,claro
2025-09011212.jpg,14.41,2,claro
2025-09011222.jpg,6.77,1,claro
2025-09011232.jpg,29.72,3,claro
2025-09011242.jpg,20.26,2,claro
2025-09011252.jpg,50.74,5,claro
2025-09011302.jpg,50.49,5,claro
2025-09011312.jpg,48.41,4,claro
2025-09011322.jpg,21.8,2,claro
2025-09011332.jpg,18.91,2,claro
2025-09011342.jpg,24.57,2,claro
2025-09011352.jpg,19.49,2,claro
2025-09011402.jpg,32.67,3,claro
2025-09011412.jpg,78.12,7,claro
2025-09011422.jpg,87.51,7,claro
2025-09011432.jpg,93.6,8,claro
2025-09011442.jpg,93.59,8,claro
2025-09011452.jpg,87.11,7,claro
2025-09011502.jpg,69.58,6,claro
2025-09011512.jpg,72.05,6,claro
2025-09011522.jpg,85.8,7,claro
2025-09011532.jpg,97.49,8,claro
2025-09011542.jpg,81.3,7,claro
2025-09011552.jpg,73.09,6,claro
2025-09011602.jpg,76.01,7,claro
2025-09011612.jpg,95.53,8,claro
2025-09011622.jpg,97.87,8,claro
2025-09011632.jpg,96.95,8,claro
2025-09011642.jpg,98.11,8,claro
2025-09011652.jpg,98.08,8,claro
2025-09011702.jpg,79.3,7,claro
2025-09011712.jpg,79.38,7,claro
2025-09011722.jpg,86.32,7,claro
2025-09011732.jpg,82.8,7,claro
2025-09011742.jpg,93.37,8,claro
2025-09011752.jpg,82.55,7,claro
2025-09011802.jpg,95.93,8,claro
2025-09011812.jpg,97.86,8,claro
2025-09011822.jpg,98.37,8,claro
2025-09011832.jpg,98.25,8,claro
2025-09011842.jpg,99.15,8,claro
2025-09011852.jpg,98.75,8,claro
2025-09011902.jpg,0.13,1,claro
2025-09020832.jpg,17.52,2,claro
2025-09020842.jpg,16.55,2,claro
2025-09020852.jpg,12.92,2,claro
2025-09020902.jpg,14.26,2,claro
2025-09020912.jpg,14.6,2,claro
2025-09020922.jpg,31.94,3,claro
2025-09020932.jpg,8.61,1,claro
2025-09020942.jpg,4.39,1,claro
2025-09020952.jpg,0.49,1,claro
2025-09021002.jpg,0.28,1,claro
2025-09021012.jpg,0.28,1,claro
2025-09021022.jpg,0.37,1,claro
2025-09021032.jpg,0.63,1,claro
2025-09021042.jpg,1.19,1,claro
2025-09021052.jpg,2.74,1,claro
2025-09021102.jpg,3.59,1,claro
2025-09021112.jpg,53.72,5,claro
2025-09021122.jpg,77.85,7,claro
2025-09021132.jpg,84.31,7,claro
2025-09021142.jpg,97.55,8,claro
2025-09021152.jpg,96.26,8,claro
2025-09021202.jpg,94.58,8,claro
2025-09021212.jpg,96.24,8,claro
2025-09021222.jpg,99.37,8,claro
2025-09021232.jpg,99.46,8,claro
2025-09021242.jpg,99.3,8,claro
2025-09021252.jpg,99.44,8,claro
2025-09021302.jpg,98.09,8,claro
2025-09021312.jpg,80.27,7,claro
2025-09021322.jpg,78.16,7,claro
2025-09021332.jpg,81.3,7,claro
2025-09021342.jpg,93.82,8,claro
2025-09021352.jpg,99.19,8,claro
2025-09021402.jpg,97.81,8,claro
2025-09021412.jpg,97.41,8,claro
2025-09021422.jpg,95.71,8,claro
2025-09021432.jpg,92.9,8,claro
2025-09021442.jpg,81.39,7,claro
2025-09021452.jpg,65.86,6,claro
2025-09021502.jpg,72.85,6,claro
2025-09021512.jpg,72.68,6,claro
2025-09021522.jpg,65.75,6,claro
2025-09021532.jpg,62.9,5,claro
2025-09021542.jpg,37.45,3,claro
2025-09021552.jpg,30.48,3,claro
2025-09021602.jpg,39.27,4,claro
2025-09021612.jpg,66.2,6,claro
2025-09021622.jpg,94.17,8,claro
2025-09021632.jpg,88.34,8,claro
2025-09021642.jpg,84.14,7,claro
2025-09021652.jpg,71.86,6,claro
2025-09021702.jpg,66.25,6,claro
2025-09021712.jpg,34.16,3,claro
2025-09021722.jpg,14.23,2,claro
2025-09021732.jpg,5.79,1,claro
2025-09021742.jpg,4.95,1,claro
2025-09021752.jpg,2.57,1,claro
2025-09021802.jpg,5.04,1,claro
2025-09021812.jpg,6.37,1,claro
2025-09021822.jpg,6.37,1,claro
2025-09021832.jpg,6.37,1,claro
2025-09021842.jpg,6.37,1,claro
2025-09021852.jpg,6.37,1,claro
2025-09021902.jpg,6.37,1,claro
2025-09021912.jpg,6.37,1,claro
2025-09021922.jpg,6.37,1,claro
2025-09021932.jpg,6.37,1,claro
2025-09021942.jpg,6.37,1,claro
2025-09030822.jpg,57.21,5,claro
2025-09030832.jpg,45.84,4,claro
2025-09030842.jpg,32.86,3,claro
2025-09030852.jpg,21.81,2,claro
2025-09030902.jpg,12.34,2,claro
2025-09030912.jpg,6.92,1,claro
2025-09030922.jpg,2.9,1,claro
2025-09030932.jpg,2.08,1,claro
2025-09030942.jpg,1.35,1,claro
2025-09030952.jpg,1.05,1,claro
2025-09031002.jpg,0.77,1,claro
2025-09031012.jpg,1.69,1,claro
2025-09031022.jpg,9.49,1,claro
2025-09031032.jpg,67.4,6,claro
2025-09031042.jpg,67.56,6,claro
2025-09031052.jpg,55.72,5,claro
2025-09031102.jpg,7.68,1,claro
2025-09031112.jpg,14.09,2,claro
2025-09031122.jpg,59.99,5,claro
2025-09031132.jpg,83.01,7,claro
2025-09031142.jpg,47.98,4,claro
2025-09031152.jpg,46.67,4,claro
2025-09031202.jpg,84.74,7,claro
2025-09031212.jpg,71.34,6,claro
2025-09031222.jpg,55.63,5,claro
2025-09031232.jpg,43.28,4,claro
2025-09031242.jpg,69.14,6,claro
2025-09031252.jpg,67.96,6,claro
2025-09031302.jpg,87.18,7,claro
2025-09031312.jpg,91.58,8,claro
2025-09031322.jpg,94.09,8,claro
2025-09031332.jpg,79.19,7,claro
2025-09031342.jpg,59.18,5,claro
2025-09031352.jpg,73.54,6,claro
2025-09031402.jpg,92.45,8,claro
2025-09031412.jpg,86.01,7,claro
2025-09031422.jpg,94.72,8,claro
2025-09031432.jpg,79.4,7,claro
2025-09031442.jpg,92.44,8,claro
2025-09031452.jpg,63.26,6,claro
2025-09031502.jpg,51.61,5,claro
2025-09031512.jpg,55.34,5,claro
2025-09031522.jpg,60.42,5,claro
2025-09031532.jpg,68.26,6,claro
2025-09031542.jpg,76.11,7,claro
2025-09031552.jpg,47.88,4,claro
2025-09031602.jpg,28.76,3,claro
2025-09031612.jpg,70.52,6,claro
2025-09031622.jpg,75.17,7,claro
2025-09031632.jpg,92.23,8,claro
2025-09031642.jpg,88.69,8,claro
2025-09031652.jpg,91.92,8,claro
